# AmiraMesh 3D ASCII 2.0
# CreationDate: Mon Apr 21 13:33:26 2008


define Markers 439

Parameters {
    NumSets 2,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Coordinates2 } @2

# Data section follows
@1
  -11.4712 40.6815 -653.568
  -10.9512 30.3919 -645.015
  -9.38962 -0.524502 -636.485
  -8.45073 -12.5361 -631.343
  -8.1639 -18.764 -632.488
  -6.41544 -81.5881 -537.939
  7.49597 42.3124 -648.235
  -3.47043 1.74965 -635.667
  -4.31023 -10.8981 -629.304
  -0.28986 -8.55449 -628.231
  19.1757 10.4903 -630.955
  38.53 -6.44849 -618.131
  36.0081 36.1944 -622.987
  37.5968 -28.4927 -607.01
  42.1782 -12.1657 -610.265
  47.0897 13.6547 -609.9
  43.3096 -23.6744 -577.287
  48.3758 22.5072 -551.53
  39.1853 51.9589 -546.685
  44.7778 32.7576 -502.662
  -28.7271 40.7966 -647.312
  -15.2284 1.47194 -635.213
  -12.6355 -11.2686 -629.919
  -17.3715 -8.2797 -627.811
  -38.615 10.0717 -630.124
  -56.0742 -7.32181 -617.519
  -56.1177 34.3695 -623.347
  -55.4594 -24.0782 -607.413
  -60.5339 -12.2129 -609.6
  -66.3304 12.8672 -609.286
  -61.5869 -27.5113 -576.016
  -68.713 21.1121 -550.007
  -58.355 51.3804 -549.017
  -63.7246 31.5938 -505.705
  -8.03684 -2.84949 -452.963
  -10.5095 58.5179 -521.402
  -10.1122 45.2668 -556.384
  -9.452 37.5878 -609.489
  -10.2408 38.2088 -638.48
  -2.86547 -20.9083 -632.852
  5.72645 -25.088 -631.821
  14.3243 -26.0002 -630.382
  23.5628 -24.551 -627.1
  32.7129 -19.0253 -624.1
  38.3738 -13.5013 -620.865
  -0.643197 -34.4154 -628.412
  -1.77785 -47.6539 -624.675
  -0.279197 -60.4959 -617.35
  -0.848279 -70.2173 -604.895
  -0.461197 -76.2199 -593.5
  -0.596343 -80.792 -580.902
  0.00674168 -83.2035 -566.497
  -0.100372 -82.7606 -548.112
  8.78097 -37.4652 -625.44
